fam,pid,addr,size,lvl,id,lbl,def,unit,min_max,descr,fmt,rw,opt
sys,0.1.7,2403,1,Basic,2,Buzzers enabled,TRUE,,-,"Indicates all buzzers state. If disabled, buzzers don't beep when the led panel central red light is blinking.",bool,R/W,-
sys,0.1.7,2404,1,Basic,3,Front panel buttons enabled,TRUE,,-,"Indicates all front panel buttons state. If disabled, pressing on the front panel buttons has no effect.",bool,R/W,-
sys,0.1.7,2405,2,ViewOnly,4,Number of cmd inputs,-1,,-,Total number of command inputs in the system.,int,R,-
sys,0.1.7,2407,2,ViewOnly,5,Number of devices,0,,-,Number of power electronics devices.,uint,R,-
sys,0.1.7,2409,2,ViewOnly,6,Number of next3,0,,-,Number of next3 devices.,uint,R,-
sys,0.1.7,2411,2,ViewOnly,7,Next3 status,NoWarningsOrErrors,,-,Bitfield containing the Next3 status.,bitfield,R,0.1.7.enum0
sys,0.1.7,2413,2,ViewOnly,8,Number of next1,0,,-,Number of next1 devices.,uint,R,-
sys,0.1.7,2415,2,ViewOnly,9,Next1 status,NoWarningsOrErrors,,-,Bitfield containing the Next1 status.,bitfield,R,0.1.7.enum0
,,,,,,,,,,,,,
sys,0.1.8,2703,1,Basic,2,Turn on all phases,-,,-,Turn on all phases.,signal,W,-
sys,0.1.8,2704,1,Basic,3,Turn off all phases,-,,-,Turn off all phases.,signal,W,-
sys,0.1.8,2705,1,ViewOnly,4,ON/OFF state all phases,FALSE,,-,Indicates all phases ON/OFF state.,bool,R,-
sys,0.1.8,2706,1,Basic,5,Turn on L1,-,,-,"Turn on phase L1. Note that ""Allow individual phase operation"" (id 56) must be true to enable L1 individually.",signal,W,-
sys,0.1.8,2707,1,Basic,6,Turn off L1,-,,-,Turn off phase L1.,signal,W,-
sys,0.1.8,2708,1,Basic,7,ON/OFF state L1,FALSE,,-,Indicates phase L1 ON/OFF state.,bool,R,-
sys,0.1.8,2709,1,Basic,8,Turn on L2,-,,-,"Turn on phase L2. Note that ""Allow individual phase operation"" (id 56) must be true to enable L2 individually.",signal,W,-
sys,0.1.8,2710,1,Basic,9,Turn off L2,-,,-,Turn off phase L2.,signal,W,-
sys,0.1.8,2711,1,Basic,10,ON/OFF state L2,FALSE,,-,Indicates phase L2 ON/OFF state.,bool,R,-
sys,0.1.8,2712,1,Basic,11,Turn on L3,-,,-,"Turn on phase L3. Note that ""Allow individual phase operation"" (id 56) must be true to enable L3 individually.",signal,W,-
sys,0.1.8,2713,1,Basic,12,Turn off L3,-,,-,Turn off phase L3.,signal,W,-
sys,0.1.8,2714,1,Basic,13,ON/OFF state L3,FALSE,,-,Indicates phase L3 ON/OFF state.,bool,R,-
sys,0.1.8,2717,2,Basic,15,3-phase system configuration,Symetric,,-,3-phase system configuration.,enum,R/W,0.1.8.enum0
sys,0.1.8,2719,2,Basic,16,Nominal line voltage,398.371686,V,"[10,478]",Nominal line voltage.,float,R/W,
sys,0.1.8,2721,2,Basic,17,L1 nominal phase voltage,230,V,"[0,275]",L1 nominal phase voltage (also used for AC input ports nominal voltage).,float,R/W,-
sys,0.1.8,2723,2,Basic,18,L2 nominal phase voltage,230,V,"[0,275]",L2 nominal phase voltage (also used for AC input ports nominal voltage).,float,R/W,-
sys,0.1.8,2725,2,Basic,19,L3 nominal phase voltage,230,V,"[0,275]",L3 nominal phase voltage (also used for AC input ports nominal voltage).,float,R/W,-
sys,0.1.8,2727,2,Basic,20,Relative angle for L2,-120,°,[-,L2 voltage phase angle relative to L1.,float,R/W,-
sys,0.1.8,2729,2,Basic,21,Relative angle for L3,120,°,"180,180]",L3 voltage phase angle relative to L1.,float,R/W,-
sys,0.1.8,2731,2,Basic,22,Nominal frequency,50,Hz,"[45,65]",Nominal frequency.,float,R/W,-
sys,0.1.8,2733,2,Expert,23,Maximum RoCoF,10,Hz/s,"[0.5,50]",Maximal rate of change of frequency.,float,R/W,-
sys,0.1.8,2784,2,Basic,49,Alternate frequency,50,Hz,"[35,65]","Alternate frequency. See property ""Cmd entry idx for alternate frequency"" (id 50) for more details.",float,R/W,-
sys,0.1.8,2786,2,Expert,50,Cmd entry idx for alternate frequency,0,,"[0,10]",Index of the command input used to switch to the alternate frequency,int,R/W,-
sys,0.1.8,2788,1,R:ViewOnly W:Expert,51,Allow power prod. on,FALSE,,-,"Allows power production on ACLoad or FlexLoad ports (e.g. when solar inverter is connected on ACLoad/FlexLoad). If false, a backfeed power dectection causes an error.",bool,R/W,-
sys,0.1.8,2789,2,R:ViewOnly W:Expert,52,Freq. incr. to reduce produced power,0,Hz,"[0,15]","When power is produced on ACLoad or FlexLoad port (e.g. when solar inverter is connected on on ACLoad/FlexLoad) and this power can't be absorbed by the system, the frequency must be increased to limit this power.",float,R/W,-
sys,0.1.8,2793,2,Basic,54,Standby sensitivity,None,,-,Standby sensitivity.,enum,R/W,0.1.8.enum2
sys,0.1.8,2795,2,Expert,55,Standby detection,1,%,"[-1,10]",Standby detection expressed in % of nominal power. A negative value disables the standby.,float,R/W,-
sys,0.1.8,2797,1,Basic,56,Allow individual phase operation,TRUE,,-,Allow individual phase operation even if another phase is halted or in error state.,bool,R/W,-
sys,0.1.8,2798,2,Expert,57,Overload threshold stage1,50,%,"[20,90]",Voltage threshold stage 1 for overload detection.,float,R/W,-
sys,0.1.8,2800,2,Expert,58,Overload operate time stage1,0.5,s,"[0.05,3]",Overload operate time stage 1.,float,R/W,-
sys,0.1.8,2802,2,Expert,59,Overload threshold stage2,80,%,"[40,95]",Voltage threshold stage 2 for overload detection.,float,R/W,-
sys,0.1.8,2804,2,Expert,60,Overload operate time stage2,3,s,"[0.5,5]",Overload operate time stage 2.,float,R/W,-
